time,vehicle_id,cargo_id,imei,lat,lng,speed,heading,accuracy
2026-07-02 20:07:39.573+08,1,SH-HZ-20260629-0291,861234567890123,29.61953,106.50693,0,0,5
2026-07-02 20:07:42.618+08,1,SH-HZ-20260629-0291,861234567890123,29.61952,106.5069,0,0,5
2026-07-02 20:07:45.584+08,1,SH-HZ-20260629-0291,861234567890123,29.61953,106.50686,0,0,5
2026-07-02 20:07:48.519+08,1,SH-HZ-20260629-0291,861234567890123,29.61945,106.50683,0,0,5
2026-07-02 20:07:51.573+08,1,SH-HZ-20260629-0291,861234567890123,29.61941,106.5068,0,0,5
2026-07-02 20:07:54.559+08,1,SH-HZ-20260629-0291,861234567890123,29.61939,106.50677,0,0,5
2026-07-02 20:07:57.564+08,1,SH-HZ-20260629-0291,861234567890123,29.61937,106.50674,0,0,5
2026-07-02 20:08:00.511+08,1,SH-HZ-20260629-0291,861234567890123,29.61936,106.50673,0,0,5
2026-07-02 20:08:03.613+08,1,SH-HZ-20260629-0291,861234567890123,29.61931,106.50671,0,0,5
2026-07-02 20:08:06.579+08,1,SH-HZ-20260629-0291,861234567890123,29.61916,106.5067,0,0,5
2026-07-02 20:08:09.516+08,1,SH-HZ-20260629-0291,861234567890123,29.61905,106.50667,0,0,5
2026-07-02 20:08:12.525+08,1,SH-HZ-20260629-0291,861234567890123,29.61895,106.5066,0,0,5
2026-07-02 20:08:15.578+08,1,SH-HZ-20260629-0291,861234567890123,29.61879,106.5066,0,0,5
2026-07-02 20:08:18.556+08,1,SH-HZ-20260629-0291,861234567890123,29.61872,106.50657,0,0,5
2026-07-02 20:08:21.611+08,1,SH-HZ-20260629-0291,861234567890123,29.61871,106.50651,0,0,5
2026-07-02 20:08:24.559+08,1,SH-HZ-20260629-0291,861234567890123,29.61871,106.50648,0,0,5
2026-07-02 20:08:27.552+08,1,SH-HZ-20260629-0291,861234567890123,29.61871,106.50644,0,0,5
2026-07-02 20:08:30.559+08,1,SH-HZ-20260629-0291,861234567890123,29.61879,106.50641,0,0,5
2026-07-02 20:08:33.565+08,1,SH-HZ-20260629-0291,861234567890123,29.61884,106.50637,0,0,5
2026-07-02 20:08:36.541+08,1,SH-HZ-20260629-0291,861234567890123,29.61895,106.50632,0,0,5
2026-07-02 20:08:39.592+08,1,SH-HZ-20260629-0291,861234567890123,29.61916,106.50628,0,0,5
2026-07-02 20:08:42.558+08,1,SH-HZ-20260629-0291,861234567890123,29.61928,106.50625,0,0,5
2026-07-02 20:08:45.514+08,1,SH-HZ-20260629-0291,861234567890123,29.61933,106.50621,0,0,5
2026-07-02 20:08:48.506+08,1,SH-HZ-20260629-0291,861234567890123,29.61941,106.50615,0,0,5
2026-07-02 20:08:51.57+08,1,SH-HZ-20260629-0291,861234567890123,29.61945,106.50609,0,0,5
2026-07-02 20:08:54.511+08,1,SH-HZ-20260629-0291,861234567890123,29.61948,106.50602,0,0,5
2026-07-02 20:08:57.543+08,1,SH-HZ-20260629-0291,861234567890123,29.61949,106.50597,0,0,5
2026-07-02 20:09:00.562+08,1,SH-HZ-20260629-0291,861234567890123,29.6195,106.50593,0,0,5
2026-07-02 20:09:03.546+08,1,SH-HZ-20260629-0291,861234567890123,29.61949,106.50592,0,0,5
2026-07-02 20:09:06.547+08,1,SH-HZ-20260629-0291,861234567890123,29.61952,106.50584,0,0,5
2026-07-02 20:09:09.555+08,1,SH-HZ-20260629-0291,861234567890123,29.61952,106.50582,0,0,5
